table_schema,table_name
auth,audit_log_entries
auth,custom_oauth_providers
auth,flow_state
auth,identities
auth,instances
auth,mfa_amr_claims
auth,mfa_challenges
auth,mfa_factors
auth,oauth_authorizations
auth,oauth_client_states
auth,oauth_clients
auth,oauth_consents
auth,one_time_tokens
auth,refresh_tokens
auth,saml_providers
auth,saml_relay_states
auth,schema_migrations
auth,sessions
auth,sso_domains
auth,sso_providers
auth,users
auth,webauthn_challenges
auth,webauthn_credentials
conversaflow,ai_turn_logs
conversaflow,business_config_changes
conversaflow,businesses
conversaflow,conversation_outcomes
conversaflow,conversation_turns
conversaflow,conversations
conversaflow,customer_preferences
conversaflow,customers
conversaflow,daily_summaries
conversaflow,dashboard_users
conversaflow,edge_function_logs
conversaflow,eval_traces
conversaflow,inbound_events
conversaflow,job_attempts
conversaflow,jobs
conversaflow,messages
conversaflow,outbox
conversaflow,pipeline_traces
conversaflow,products
conversaflow,security_logs
conversaflow,transaction_status_events
conversaflow,transactions
conversaflow,zettle_oauth_tokens
kds,device_sessions
kds,ticket_events
kds,ticket_items
kds,tickets
public,ai_turn_logs
public,business_config_changes
public,businesses
public,conversation_outcomes
public,conversation_turns
public,conversations
public,customer_preferences
public,customers
public,daily_summaries
public,dashboard_users
public,edge_function_logs
public,inbound_events
public,job_attempts
public,jobs
public,messages
public,outbox
public,pipeline_traces
public,products
public,security_logs
public,transaction_status_events
public,transactions
public,zettle_oauth_tokens
realtime,messages
realtime,messages_2026_05_06
realtime,messages_2026_05_07
realtime,messages_2026_05_08
realtime,messages_2026_05_09
realtime,messages_2026_05_10
realtime,schema_migrations
realtime,subscription
storage,buckets
storage,buckets_analytics
storage,buckets_vectors
storage,migrations
storage,objects
storage,s3_multipart_uploads
storage,s3_multipart_uploads_parts
storage,vector_indexes
supabase_migrations,schema_migrations
umi_cash,ApplePushToken
umi_cash,GiftCard
umi_cash,Location
umi_cash,LoyaltyCard
umi_cash,OtpVerification
umi_cash,RewardConfig
umi_cash,RewardRedemption
umi_cash,Session
umi_cash,Tenant
umi_cash,Transaction
umi_cash,User
umi_cash,Visit
